pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,total_combos,exempted_combo_count,missing_combo_count,missing_combos,dk_app_daily_spend_exempted,exempted_combo_network_daily,missing_combo_network_daily,dk_combo_network_daily_total,penetration_rate,est_uplift_missed_daily
SYBO Games,5c52bd6ffbeb402419bef87d,EMEA,Louis Wallworth,Subway Surfers (Non-COPPA),5e4e6838246d020018f1e653,com.kiloo.subwaysurf,2143.2636,10,4,6,"Combo3,Combo4,Combo6,Combo7,Combo9,Combo10",0.0,27469.0506,15157.5813,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle - iOS,5ef316979c3a0300015b0a03,1519174001,2211.0834,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,Goods Sorting: Match 3 Puzzle PM_1945,660a20c0c5f237ebf7b4ac68,com.fc.goods.sort.matching.puzzle.triplemaster,2243.5693,10,2,8,"Combo3,Combo4,Combo5,Combo6,Combo7,Combo8,Combo9,Combo10",0.0,22824.9941,19801.6378,42626.6319,0.0,0.0
Code Dish GmbH,64075f57d6da1900141e5aba,EMEA,Hadil Salameh,Dream Island - Match 3 Games,647dbe0bb7a4c97fb3997264,com.dream.free.games.match3,2227.9975,10,6,4,"Combo5,Combo8,Combo9,Combo10",0.0,37079.4684,5547.1635,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Art Puzzle GP,5f33efea7aae9f000162155d,com.easybrain.art.puzzle,4962.1386,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Easy Words GP,64f9e2ac8fb8ac04ca897cd1,com.easybrain.word.puzzle.game,2316.8434,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
Pocket Entertainment Services LLC,6315b8713c59f7001bacf8fb,Americas,Rutvij Jadav,PocketFM Android,6315b8bb85b5a14b0bbc9454,com.radio.pocketfm,2377.0222,10,6,4,"Combo3,Combo4,Combo6,Combo7",0.0,28372.1576,14254.4743,42626.6319,0.0,0.0
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,Nonogram IOS,5c88efab1c2e1f6eb4ca10cc,1452992954,2522.3054,10,6,4,"Combo3,Combo4,Combo6,Combo7",0.0,28372.1576,14254.4743,42626.6319,0.0,0.0
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,Vinted Android,671654af58450cca797bb25d,fr.vinted,4170.9759,10,4,6,"Combo4,Combo5,Combo7,Combo8,Combo9,Combo10",0.0,32023.6546,10602.9773,42626.6319,0.0,0.0
RobTop Games AB,6276c973f70e7c001895be79,EMEA,Louis Wallworth,Geometry Dash Lite Android,6295ff7c3987b19e74b43c3e,com.robtopx.geometryjumplite,2971.0927,10,6,4,"Combo5,Combo8,Combo9,Combo10",0.0,37079.4684,5547.1635,42626.6319,0.0,0.0
