pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,level,block_type,block_value,adv_title,network_share,adv_daily_spend,est_uplift_daily
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,1609579024,BetMGM Casino - Real Money,0.00039381,1758.5954,32.9873
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,domain,lovoo.com,,0.00034042,1520.1837,32.975
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,,,,29726.8704,account,market id,1065803457,Лига Ставок — ставки на спорт,0.00110688,4942.9364,32.9042
Chesscom LLC,6863fe9df000940011f80bcb,Americas,Lisa Tolentino,,,,4584.3269,account,domain,global.e.mi.com,,0.00717646,32047.4217,32.8992
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,app,domain,zeroogravitygames.com,,0.0004728,2111.3511,32.834
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,badam.mobi,,0.00039181,1749.6635,32.8197
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,,,,13489.8832,account,domain,bigo.tv,,0.00241866,10800.8272,32.6274
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,iOS Solitaire,5346f0f55cd3b9056a000074,359917414,31388.3295,app,market id,550442071,Betway Casino Games & Slots,0.00103922,4640.7787,32.6194
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,evamobi.com,,0.00060715,2711.3135,32.6048
Scopely,561e8d966b8d90f61a003414,Americas,Natalie Kenyon,,,,13489.8832,account,market id,com.kwai.video,Kwai - Video & Drama,0.002416,10788.9753,32.5916
Outfit7,561e8d946b8d90f61a001509,EMEA,Tori Edwards,,,,12276.9088,account,market id,1436799971,Binance: Buy Bitcoin & Crypto,0.00265122,11839.3549,32.5487
Rakuten Viber,6920858f3fcd392133e22a59,EMEA,Tori Edwards,,,,13432.4778,account,domain,bigo.tv,,0.00241866,10800.8272,32.4885
GamoVation,5fe2fafd6013fb0015208652,EMEA,Hadil Salameh,,,,15710.5964,account,market id,6747492600,Mahjong Blast,0.0020655,9223.7685,32.4503
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,market id,ca.sugarbush.jackpotcity,Jackpot City: Online Casino,0.00060282,2691.9771,32.3723
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,1514665962,Underdog Sports,0.00038605,1723.9374,32.3372
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,superlive.chat,,0.00060058,2681.984,32.2521
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,domain,plarium.com,,0.00033238,1484.3076,32.1968
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,com.productmadness.hovmobile,Slots: Heart of Vegas Casino,0.00033233,1484.0428,32.1911
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,SmartNews for docomo,69680f5935536525d31e36b2,com.nttdocomo.android.mymagazine,802.949,app,market id,com.einnovation.temu,Temu: Shop Like a Billionaire,0.04004889,178843.6136,32.1572
FGFF,561e8d976b8d90f61a00418e,Americas,Ary Bai,,,,10290.7346,account,domain,cloudfront.net,,0.00312299,13946.1054,32.1378
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,domain,1xbet.com,,0.00036604,1634.5926,31.9524
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,domain,hardrock.bet,,0.00032938,1470.8927,31.9058
Flightradar24 AB,6862932aaff9d800114174ac,EMEA,Hadil Salameh,,,,20154.5437,account,market id,6743212841,Betty Casino: Real Money Slots,0.00158284,7068.3945,31.9015
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,underdogfantasy.com,,0.00038064,1699.7842,31.8841
Chesscom LLC,6863fe9df000940011f80bcb,Americas,Lisa Tolentino,,,,4584.3269,account,domain,scopely.com,,0.00694354,31007.3029,31.8315
Agave Games,6155ad11120d4a0017386a18,EMEA,Beth Taylor-Lowen,,,,673.7127,account,domain,tiktok.com,,0.04722481,210888.5988,31.816
Electronic Arts,561e8d936b8d90f61a0006b6,Americas,Kasey Geist,,,,7340.4433,account,market id,6741076536,Modo Casino Slots & Games,0.00431168,19254.3628,31.6496
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,905953485,NordVPN: VPN Fast & Secure,0.00037773,1686.7931,31.6404
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,6745822378,MegaBonanza - Slot Games,0.00037761,1686.2514,31.6303
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,market id,ca.betty.app,Betty Casino: Real Money Slots,0.00058848,2627.9335,31.6021
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,,,,29726.8704,account,market id,1574436604,SUGO-Online Chat Party,0.00106308,4747.3037,31.6019
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,zzkko.com,,0.00069897,3121.3274,31.5962
GamoVation,5fe2fafd6013fb0015208652,EMEA,Hadil Salameh,,,,15710.5964,account,market id,1437843273,PrizePicks - Sports Picks,0.0020109,8979.9405,31.5924
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,magazineluiza.com.br,,0.00037684,1682.8246,31.566
HITAPPS GAMES LTD,6021599b8b3e5600159fcc76,EMEA,Beth Taylor-Lowen,,,,17590.0431,account,domain,shopee.ph,,0.00179326,8008.0221,31.5435
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,1020109860,GoldenHoYeah Slots-Slots Games,0.00032525,1452.4531,31.5058
"Delight Room Co, Ltd",63c7b6b2f22ae3001457f1fb,APAC,Ives Cui,,,,6490.5039,account,market id,com.alibaba.aliexpresshd,AliExpress - Shopping App,0.00483409,21587.2562,31.3757
FALCON GLOBAL LTD.,5a57133a3610bbb671016ff3,APAC,Nam Trinh,,,,10046.5933,account,domain,cloudfront.net,,0.00312299,13946.1054,31.3754
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,iOS Solitaire,5346f0f55cd3b9056a000074,359917414,31388.3295,app,domain,casino.betway.com,,0.00099912,4461.7168,31.3608
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,winline.ru,,0.00058232,2600.4303,31.2714
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,fxpro.com,,0.00069158,3088.3211,31.262
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,1223338261,Solitaire Grand Harvest,0.00035812,1599.2147,31.2608
Bluetile Games,64803209bfd9aa0011593484,EMEA,Tori Edwards,,,,12904.9058,account,domain,bigo.tv,,0.00241866,10800.8272,31.2125
INNOVATIVE CONNECTING PTE.LIMITED,5d76031d57ec4f0017743734,APAC,Harper Zhang,,,,17638.3593,account,domain,melbet.com,,0.00176368,7875.9244,31.1083
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,yahoo.co.jp,,0.00057925,2586.7003,31.1063
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,domain,com.funplus,,0.00014424,644.1449,31.0864
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,877638937,Governor of Poker 3 - Holdem,0.00035597,1589.6327,31.0735
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,,,,20742.455,account,market id,1077137248,"BIGO LIVE-Live Stream, Go Live",0.00149463,6674.4491,31.0022
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,s.click.aliexpress.com,,0.00068579,3062.5038,31.0007
Voodoo,56d55c72562b9c353800000d,EMEA,Hadil Salameh,,,,29726.8704,account,market id,sg.bigo.live,Bigo Live - Live Streaming App,0.00103972,4643.0103,30.9076
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,market id,com.jazz.independently1.allocation16482,,0.00057484,2567.027,30.8697
